status,name_of_covered_entity,individuals_affected,breach_submission_date,web_description,location_of_breached_information,state,covered_entity_type,type_of_breach,business_associate_present
current,f0b576d4fe3c239efea176fc34163887369cc013c29c41b54d0760d129d6bc99,12499,09/30/2022,,"Electronic Medical Record, Network Server",NJ,Healthcare Provider,Hacking/IT Incident,No
current,a248ad155ba99c3a96ca8f895efbb64aad3099165f6538b1d5cc63752aa0b7af,15206,01/20/2023,,Network Server,OH,Health Plan,Unauthorized Access/Disclosure,No
current,f0694e5e391be504a03bc802b2731f2091e81873bcf058d9eb35caa9cd03bb58,16815,09/23/2022,,Network Server,CA,Healthcare Provider,Hacking/IT Incident,No
current,07bd9322a8591d944f847bdf80620be487d1b603c4f0e49161726af6c1686e13,9880,12/30/2021,,Network Server,CA,Healthcare Provider,Hacking/IT Incident,No
current,28f3fd4fb11b24b2754c2216d088af18af0129c06d8c3ecbaa5e02eee306480d,2721,04/12/2023,,Paper/Films,OR,Healthcare Provider,Theft,No
current,6e0caf84431e24fa573f817b3c1f7f82e211ffe29730ae4def0a853da961a62c,12499,09/30/2022,,"Electronic Medical Record, Network Server",NJ,Healthcare Provider,Hacking/IT Incident,No
current,018b1c8ce7dd3601478e77b12eb3dc9a866ebb3955965878d14dcb2be445683e,6700,07/06/2023,,Network Server,FL,Business Associate,Hacking/IT Incident,Yes
current,250a55b7a1d814a978a7fe23feac20170d052ed8c799f5cef9b262b4285130a1,30057,06/20/2023,,Network Server,CA,Healthcare Provider,Hacking/IT Incident,No
current,1adc48d2bf0e6c5f10c4762c38c45df2f6991b96722d95390745b72169ed4098,134948,08/12/2022,,Email,TX,Business Associate,Hacking/IT Incident,Yes
archive,85ce2fe9f4b3d8f9f481155f84d7f782a8e71f90b2e5290a9a5521e17bc57734,501,03/19/2022,,Email,CO,Healthcare Provider,Hacking/IT Incident,No
archive,6dd427c33e83bbb2428b29fe73999d2848bbb802c5b500f0d95ead7ea3323457,1520,11/19/2021,,Network Server,CA,Health Plan,Hacking/IT Incident,Yes
archive,d7bc96870f2ea1ce92bf74e6232c5cc294dc19fcd2a606ad785132ecb9122f0d,12931,05/21/2021,,Network Server,IL,Healthcare Provider,Hacking/IT Incident,Yes
current,b888428ddf561a4ba3000939cc4928d057d2bd8f66d389644ae1982edd1ed4d1,501,08/08/2022,,Email,WA,Healthcare Provider,Hacking/IT Incident,No
archive,1c824db77d28fc3c7b0d545b3bcb53d768d495df12a58f5531094f5d8b27f974,2160,08/05/2022,,Email,NY,Healthcare Provider,Hacking/IT Incident,No
current,712b0b06a9b4e463302fd4fe5decfff72fc3f7eebf9b8a04651ddd09f1f03ef7,600,04/07/2023,,Network Server,NE,Healthcare Provider,Hacking/IT Incident,No
archive,0dd4643913857cafbde4c16fe9df562b07dd5919b166ad955291100e4cbbc320,1290670,12/16/2020,,Email,FL,Business Associate,Hacking/IT Incident,Yes
archive,ad758be1b8ca489d738cfe6514b21524182fcfd8ed636b4ec82bd34cde13fe58,10974,06/18/2020,,Network Server,OH,Healthcare Provider,Hacking/IT Incident,No
current,4207b8d9441d085206a9b8c86ef389f454e7f13088c332477ba6bf387eaed33a,12145,09/21/2022,,Network Server,CA,Healthcare Provider,Hacking/IT Incident,No
current,aeec178e7385de3f74db8da1103bca2d5d0cf4d31446addbe801a7c9f3c45f55,500,09/24/2021,,Network Server,MD,Health Plan,Hacking/IT Incident,No
current,6c4b857273d2ce782ffa14bba556427f73f7be836423aac386f217a95520e875,1682,11/14/2022,,Network Server,CA,Business Associate,Unauthorized Access/Disclosure,Yes
current,ca14e467c6bddf5f2f27a39e800149f333bdf64103d0389eb0e9fdf003d9ad25,2136,10/24/2022,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,8a113228e5a4ac7e7da8f53c136cd7547617b867e35f70a97a10b23bb9588f65,627,05/15/2023,,Network Server,PA,Healthcare Provider,Hacking/IT Incident,No
current,d9a6e2bf2977a2e7a0606161db74291e5cebdb96cd2b5ef427ea76ba3be882f8,11672,09/23/2022,,Network Server,MO,Healthcare Provider,Hacking/IT Incident,No
current,344a6a822b00607795d97cbad61a4eeeb098e20956b8571bb35693b5bfaf3294,18321,09/23/2022,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,c9c1aea0ef1d77c33a6b641c07d8951d22d39ec109c8c4b292f23c59449c38a7,500,12/30/2021,,Network Server,VA,Business Associate,Hacking/IT Incident,Yes
current,46fe6e8c36dc69ed3b8b06b7352fdb5aa453d6ac4627c47d76d89d0a85592b5d,15569,07/11/2023,,Network Server,IL,Business Associate,Hacking/IT Incident,Yes
current,ea5ad43641bdd9656f7c1832ca1344530e38ffe6c38c804b62b4ec8cd9dc60c8,224703,07/21/2023,,Network Server,TX,Healthcare Provider,Hacking/IT Incident,No
current,b416ada69029196b16977e3f5b33475b928ff20d8465f4d71e5960c59ccfe895,1000,05/23/2023,,Email,CA,Healthcare Provider,Hacking/IT Incident,No
current,01462a1caeeb6930df720470d5b993a134e92e9a65af4bf1d28899e684ca6393,199000,04/07/2023,,Network Server,CA,Business Associate,Hacking/IT Incident,Yes
current,01462a1caeeb6930df720470d5b993a134e92e9a65af4bf1d28899e684ca6393,462241,04/07/2023,,Network Server,CA,Business Associate,Hacking/IT Incident,Yes
current,efd445c6699384f3a2c2a47a2c2da08a4adc88462f063172b78922f561935c45,61790,04/04/2023,,Network Server,CA,Business Associate,Hacking/IT Incident,Yes
archive,2a60167e5d56d3c75081a09c7b7f7d123b4aa64b0d175a2657e35dadc9c621ea,48471,12/28/2018,,"Desktop Computer, Network Server",MI,Business Associate,Hacking/IT Incident,Yes
current,47fa04a8291d8e1b5dde0faba5b7381e8e060cb8e8f4ab8644861c7fb5a55e00,1209825,07/14/2023,,Network Server,MN,Business Associate,Hacking/IT Incident,Yes
current,badc729fd3583ffb1ae4a7cbca4c0f0617a8a76cb81434037ae6628e26b7f86b,233834,05/30/2023,,Network Server,IA,Health Plan,Hacking/IT Incident,Yes
current,7bfe55e30d7d0390c2c5bd137b357a83782c88f1687797a29f69c3b12f74a7c6,11700,09/15/2022,,Electronic Medical Record,NV,Healthcare Provider,Hacking/IT Incident,No
archive,160a0ae365eb34e27d2e6b751c9b587dd212d44ea35f0c25628c039a6fdacff2,1493,03/08/2023,,Network Server,KS,Healthcare Provider,Hacking/IT Incident,No
archive,9659550b61f6ac05f83bd9c1f5e8b34d1f26a871d6a834ee8621ee2c107012e3,23379,09/09/2022,,Network Server,TX,Healthcare Provider,Hacking/IT Incident,No
current,2df18e56bcc8d90422b94987aa75e187b3769471558ecaf7a66870323238f8f7,3142,03/30/2023,,Network Server,IL,Healthcare Provider,Hacking/IT Incident,No
current,53450c2574c3cc1fd6c0200f67b3c648278915e3bd636353b43c26f25db7c465,883,11/30/2022,,Network Server,PA,Business Associate,Hacking/IT Incident,Yes
current,26ba04fc387a8da2f7ace3a5a9fe4b2c86a1a199aa279436f57801452bb222f2,4535,11/30/2022,,Network Server,PA,Business Associate,Hacking/IT Incident,Yes
current,564d9b8daaf16d7b899f4ba7aad2a984d436a996f2374b456987e5dd09ecb6bd,2500,10/08/2022,,Network Server,FL,Healthcare Provider,Hacking/IT Incident,No
current,541995fc3c456ddf969dc5a59107e972de707a406d3f5d55bfc5dfb73389c1af,38751,09/16/2022,,Network Server,WA,Healthcare Provider,Hacking/IT Incident,No
current,5530ac817bb11d9885cd5502c1dc928547248f06cc1482661a4f2b4edd587272,30669,06/28/2022,,Network Server,NC,Healthcare Provider,Hacking/IT Incident,Yes
current,0052d2d16420c3c0a1cfae18c1edc30d9610f113d3ca42c6fcbaf9dc9465320f,4075,05/20/2022,,Email,NC,Healthcare Provider,Hacking/IT Incident,No
current,122a28cf6d4d74ec8a25cd21e41f9df8d9eb85ba13a000173cb2fb40ae786bbd,10140,08/22/2023,,Network Server,VA,Health Plan,Hacking/IT Incident,Yes
current,0b6e4dc6ce2bd725a8dbc95b51726444090d47cb4a65787d761b4b576e8055bc,1313636,07/28/2023,,Network Server,FL,Healthcare Provider,Hacking/IT Incident,No
current,8cc1e6d0ab735a7833b7ce6f97e501380a0a808a2bc55c7b6e2dbedb0715f74b,132651,06/30/2023,,Network Server,PA,Business Associate,Unauthorized Access/Disclosure,Yes
archive,88b1a20a532af22c8946124ccddbecd53eaac986a72149f6968da781d90a4865,1533,06/26/2023,,Network Server,PA,Healthcare Provider,Hacking/IT Incident,Yes
archive,541995fc3c456ddf969dc5a59107e972de707a406d3f5d55bfc5dfb73389c1af,22120,09/16/2022,,Network Server,WA,Healthcare Provider,Hacking/IT Incident,No
current,3cdecaf62e23cdd74c2c54715ed103e9e3b8496eaec928c3826c31e35be7d6ab,627,05/15/2023,,Network Server,PA,Healthcare Provider,Hacking/IT Incident,No
current,5530ac817bb11d9885cd5502c1dc928547248f06cc1482661a4f2b4edd587272,44512,06/28/2022,,Network Server,NC,Healthcare Provider,Hacking/IT Incident,Yes
archive,9041ffeec59a4beb0fce0b83d88d7868d7b17f33e96c915228cad35ada80535c,24845,09/23/2022,,Network Server,MI,Healthcare Provider,Hacking/IT Incident,No
current,d7660068daf52b77b79d79320557e2ec2152797f3990d7dd7b91b573a6c244ba,500,10/14/2022,,Network Server,GA,Healthcare Provider,Hacking/IT Incident,No
archive,7c50a2786c8f2a8b25f0104d1d81ef3ab4a6f5ca1ad4923cdfaf1672c4aa5f89,8179,11/30/2022,"The covered entity (CE), reported that its business associate’s (BA) subcontractor suffered a ransomware attack affecting the protected health information (PHI) of 8,179 individuals. The PHI involved included names, dates of births, addresses, Social Security numbers, drivers’ license numbers, diagnoses, lab results, medications, and other treatment information. The BA notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE terminated its business relationship with its BA’s subcontractor, implemented additional technical safeguards, revised its policies and procedures, and provided complimentary credit monitoring services to affected individuals.",Network Server,PA,Business Associate,Hacking/IT Incident,Yes
current,806ee9be788f158ba4b0ba089f565714b795a0844920068bca903eccda33b6f6,500,09/05/2023,,Network Server,CA,Health Plan,Hacking/IT Incident,No
archive,86828c260c2b87e93455d37e2e326df5b27e524fca89a67b732337364e686844,331376,05/04/2021,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,d8c08da470db4ac245edb7461247a3949c9523ddbc22e545ed258a7d9ced042a,7528,01/12/2023,,Network Server,CA,Healthcare Provider,Hacking/IT Incident,No
current,3512eda3af68d870c3fda2b44cd4bd73e9efee94921feb2f7b838c5bb17c8590,932,08/04/2023,,Network Server,VA,Business Associate,Hacking/IT Incident,Yes
current,3f7a2176e20e7be425eadb6cf0230d11e4ff1962adb076709ea1048e172f1e4e,500,05/26/2023,,Network Server,PA,Healthcare Provider,Hacking/IT Incident,No
current,3b3cdff3c6047f1dfce7bc22181e9700e1135b4bcf9baa44982f5930359e950b,192231,08/21/2023,,Network Server,IL,Health Plan,Hacking/IT Incident,Yes
current,bcf1ba99e3e82a2d15b1020371107640bd49d47e401bca6e6b32e389ed06df92,85952,10/04/2023,,Network Server,AR,Health Plan,Hacking/IT Incident,Yes
current,9529ec4bf67205d44616788e57daacd61c65a19ab8832a2d5ab538e9e4fccc25,2937,05/10/2023,,Network Server,KS,Business Associate,Hacking/IT Incident,Yes
current,d6b06bacfbd98ca4ce4cc6bbd66138cca0903c18a3fe80f2a50139e5303a18d5,15585,06/03/2023,,Network Server,MI,Healthcare Provider,Hacking/IT Incident,No
current,63924d746baa65e70ca5d81f203693ab91a5933146bbbf5c1667055adf3ad88e,917,09/22/2023,,Network Server,MO,Business Associate,Hacking/IT Incident,Yes
archive,0348dd5c8e1ec726d5a7ac95f8ddcbcd6c76bf5324e395e38021e086ca167565,903,03/26/2020,,Electronic Medical Record,OH,Healthcare Provider,Unauthorized Access/Disclosure,No
archive,5aff9ec41e7438ccfa39f22a3ea864b1f374ccae43acc1392d24a49d5db4bb86,1870,03/31/2021,,Network Server,NV,Healthcare Provider,Unauthorized Access/Disclosure,Yes
archive,9a9f226cbf154d5598aa81d41c9572fb081174602abb59cc64963c0e5c74aac5,5423,11/30/2022,,Network Server,PA,Business Associate,Hacking/IT Incident,Yes
current,a4ee9e7ee4529619f8d634ebb7f37f51b5ab3cfe1df26fe35a6c8aa3279081af,1750000,08/15/2023,,Network Server,OR,Business Associate,Hacking/IT Incident,Yes
current,fe116542cb652a041dbda5205652c588b48095479d6b914cf29bc6e7aff6c1b9,504,07/28/2023,,Network Server,TX,Healthcare Provider,Hacking/IT Incident,Yes
current,5aff9ec41e7438ccfa39f22a3ea864b1f374ccae43acc1392d24a49d5db4bb86,12230,02/24/2022,,Email,NV,Healthcare Provider,Hacking/IT Incident,Yes
archive,b981631ace89ed9146f6c7922d893cfbd9866cafaaca7b5f9acb7bf2c1bc0d57,18500,11/12/2021,"The covered entity (CE), reported that it was the victim of a ransomware attack affecting the protected health information (PHI) of 18,500 individuals. The PHI involved included names, dates of birth, addresses, Social Security numbers, drivers’ license numbers, claims information, diagnoses, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach the CE implemented additional physical and technical safeguards and retrained its employees on the HIPAA Privacy and Security Rules.  OCR provided the CE with technical assistance regarding the HIPAA Security Rule.
",Network Server,TX,Healthcare Provider,Hacking/IT Incident,No
archive,5aff9ec41e7438ccfa39f22a3ea864b1f374ccae43acc1392d24a49d5db4bb86,1300000,08/13/2021,,Network Server,NV,Healthcare Provider,Hacking/IT Incident,No
archive,5aff9ec41e7438ccfa39f22a3ea864b1f374ccae43acc1392d24a49d5db4bb86,1833,03/31/2021,,Network Server,NV,Healthcare Provider,Unauthorized Access/Disclosure,Yes
current,61d413d54f4fa43dc9094d57a52dcdb3195cbd28ef594268895558c0a40ca96a,1146,08/09/2023,,Email,CA,Health Plan,Unauthorized Access/Disclosure,No
current,2c7d2f1c52d345dec52aa31549e6029c2fc87b144cdcb58dd0f6faf3c28b9585,2656,06/16/2023,,Email,AZ,Healthcare Provider,Hacking/IT Incident,No
current,430b065b01c7127cdc4a060e1576a14fe15513cb3f4ffd47eaa6c9ef3b9834c9,6280,05/31/2022,,Email,NY,Business Associate,Hacking/IT Incident,Yes
current,32c6197e977136b201c86ae16be98ee0d9070756478269ecfe827072546268db,9437,05/15/2023,,Network Server,CA,Healthcare Provider,Hacking/IT Incident,No
current,e4d2e5adca9cb7611ff64048e4b92a8bf2a77a95417212902d3ac4e7dd48ea34,77258,03/15/2023,,Email,CT,Business Associate,Hacking/IT Incident,Yes
current,65e7e1ba2fa39493dc4223640dd0d695809d65b286d1c253650d3efcadcaa1f2,2216365,11/11/2022,,Network Server,PA,Business Associate,Hacking/IT Incident,Yes
archive,ab4b9ece4d6c40ee23f9f4c67176f777f79d2ffcfe977815de8e82ca2f37726b,6681,02/28/2020,,Network Server,IL,Healthcare Provider,Unauthorized Access/Disclosure,No
current,2d0cd854ea88502ed1ac2910d1276d05b4d622811a9095879792a981a039e815,66372,01/17/2023,,Network Server,CA,Business Associate,Unauthorized Access/Disclosure,Yes
archive,29620fd8301c5bc38a34aca06f266b11305f2d02d5fa724da6945eebf85dfe06,3700,12/03/2019,,"Electronic Medical Record, Other",IL,Healthcare Provider,Hacking/IT Incident,No
current,0613c0c70f213c6ee440990826238c7a96a63ac3cacb615eb77f57555de80762,999,03/29/2023,,Paper/Films,FL,Healthcare Provider,Improper Disposal,No
archive,29620fd8301c5bc38a34aca06f266b11305f2d02d5fa724da6945eebf85dfe06,16089,01/08/2021,,Email,IL,Healthcare Provider,Unauthorized Access/Disclosure,No
current,6249a9e77ebc38afe52ec11a8973b0c321c4242270d253a0636b8f5d254268ce,134394,08/21/2023,,Network Server,MA,Business Associate,Hacking/IT Incident,Yes
current,9bc9260af16bd91df695122025b427acac7265084c423fb2b701db1ec120b1c7,500,02/09/2023,,Network Server,WY,Healthcare Provider,Hacking/IT Incident,No
current,e900774196a4017313459a4b33a30584ceb4068770047689f27e2c54a5ce4c5f,14631,11/15/2022,,Network Server,CA,Health Plan,Hacking/IT Incident,No
current,43c29f161875bef00e97a7439e8aaea73d667b735ad4e9a05ec09190d539a5d1,6948,06/07/2022,,Email,NJ,Business Associate,Hacking/IT Incident,Yes
current,29182b3180e4d8a416bb8063064bb772ec45e1a26f63846296cf262e83e6e6a6,4596,12/19/2022,,Email,CA,Business Associate,Hacking/IT Incident,Yes
current,f6a50f6cb3f0a8ab1532ca7109aae617ed0250c564fcba6ee65e970be0871aab,197730,07/13/2022,,Network Server,OR,Business Associate,Hacking/IT Incident,Yes
archive,026bc1b967614ba2b3470b2a74062f1227313ceff990491913845902ad34589b,67000,11/11/2021,,"Electronic Medical Record, Network Server",MN,Healthcare Provider,Hacking/IT Incident,No
current,1beafac999721e2a5fca6913083823523d52d9f2b317bfdfd3095e8a7e4ca684,183254,07/13/2022,,Network Server,OR,Business Associate,Hacking/IT Incident,Yes
current,cda677b7e3383b4bcead28dbbd3763b790bd6887bf42071c8e07e5ec14ad6e78,23082,08/15/2022,,Network Server,SC,Business Associate,Hacking/IT Incident,Yes
archive,8448b8ef6bdca4fa6019766eb20cb75779371325b5f0419cbe628a97cd1c7e80,319778,10/22/2021,,Network Server,TN,Business Associate,Hacking/IT Incident,Yes
current,7475e834b7b3b75a792a6a1e5e8467ad55c27e7127e66c55a2e7c248d3b1e732,4563,08/08/2023,,Network Server,MA,Business Associate,Hacking/IT Incident,Yes
archive,b152ca2019a9a16c60e22f627f8ead14fec8ac1de2c2b77efa29a03b544db26e,141165,06/19/2019,,Network Server,MO,Healthcare Provider,Hacking/IT Incident,No
archive,2f718fb737d6482729e6d95f02f4e05a79a16505b9fb1b1917105b2a8e3ed01a,1151,06/04/2021,,Network Server,MI,Healthcare Provider,Hacking/IT Incident,Yes
current,e76538b3bb1ff1121785329f53dccb898ac5626776f33ab42b23f27061966bdf,1362470,07/28/2023,,Network Server,MD,Health Plan,Hacking/IT Incident,Yes
current,cd484e9a17e23dc20c6bdf8a668448457dd8bbf1ee387a3bf8c174d1323bdc97,24400,07/19/2023,,Network Server,PA,Healthcare Provider,Hacking/IT Incident,No
current,dd58f32f9356784061a495dc1ebff1336beee2b6e61f5f5d704cd15ed59918e8,501,05/24/2023,,Network Server,IL,Healthcare Provider,Hacking/IT Incident,No
current,fe76126c5487a5fdfd17272a868055860ae4da1e4b87f94041cdb9cc258dc137,1403,05/11/2022,,Network Server,AZ,Healthcare Provider,Hacking/IT Incident,Yes
archive,d46aba52789610307e9ae49c1e60b5a43d033294b505d3a299b263014dabbdd5,518,04/24/2020,,Email,MO,Healthcare Provider,Hacking/IT Incident,No
current,01ad6a00236e506aac503ac1504df96a2e6cefcc35431618e07f46a2781f6993,1647,11/22/2023,,Email,IA,Business Associate,Hacking/IT Incident,Yes
current,3392c3f48b8a115460758b938bf6e40a79a43e90484056a6718a0a8b8b4795be,501,11/17/2023,,Email,KS,Healthcare Provider,Hacking/IT Incident,No
current,8ff8d42bef6e1ef40d899b0840e67214a861deef39e1aa23792260222aceb3ab,1097,11/15/2023,,Network Server,IL,Business Associate,Hacking/IT Incident,Yes
current,0bbf9a5c7c73535e69e972bde0d41258fbbf5cbc2bee22c11fb6b8e012ccf7a8,2484,11/15/2023,,Network Server,CA,Healthcare Provider,Hacking/IT Incident,No
current,227739c965598a2d075c01c36bea58ad3f0f7085495aabd93a22410ad032ee8e,78692,11/14/2023,,Network Server,TN,Health Plan,Hacking/IT Incident,Yes
current,d211ac1ce671ad7c5fdcf550c8714cc0bb4556301c68603a14806174ca54045b,240667,11/14/2023,,Network Server,WI,Healthcare Provider,Hacking/IT Incident,No
current,16e88c3ab2e387c4d860c8503b128f651d4adbcad900d6dacf68921c0e0b9801,28531,11/14/2023,,Network Server,TX,Healthcare Provider,Hacking/IT Incident,No
current,b05541c543b17ecbafd577024e7c1725506e802143de8daec9f413387702d076,17147,11/13/2023,,Network Server,UT,Healthcare Provider,Hacking/IT Incident,No
current,df2cad7433f9788a2e11be8960cf52ae13b027e15d4369864556737845dcca20,1758,11/13/2023,,Other,SC,Healthcare Provider,Unauthorized Access/Disclosure,No
current,34f79561266afb4a19311df19af75f702a48ae510584c3d1bc90a7536bf728e9,6691,11/10/2023,,Network Server,ME,Healthcare Provider,Hacking/IT Incident,No
current,4ee35f0b1f9fa45e23e763ecceadb7f7923668608df8eb8bdd78559961edba24,501,11/09/2023,,Network Server,TX,Healthcare Provider,Hacking/IT Incident,No
current,1bfc53f698f57991bd62ad9aadd68acf34a4c4e2dd9c1388f681b5fa291709d8,168921,11/09/2023,,Network Server,PA,Healthcare Provider,Hacking/IT Incident,No
current,8cd67273b6379541bc93fd0036f492d7c42b4e5de64815a8a0590fec51a638d8,1756,11/08/2023,,Network Server,OH,Healthcare Provider,Hacking/IT Incident,No
current,d87df74714cbd7bdcb56efc8ea4b059255de01404184a0b0ec8ce17b20d5b8f9,13129,11/07/2023,,Network Server,MS,Healthcare Provider,Hacking/IT Incident,No
current,90de9efd5398b6268b7b8d200f08e975823362fbf03dc246bc179afcb7d477e7,1204,11/07/2023,,Email,CA,Healthcare Provider,Unauthorized Access/Disclosure,No
current,f7b102534d8de5a1caf7954c24112d4312bd479aceab1ab21f5e111aa854785b,501,11/06/2023,,Network Server,WA,Healthcare Provider,Hacking/IT Incident,No
current,1cd5517440829366751ccb9ba6a1ab3bf4c1df8d9f9ed0613450f19cae35b5cd,8493379,11/06/2023,,Network Server,CO,Business Associate,Hacking/IT Incident,Yes
current,20eb070b0b44be80a8f21971ccd87f8ef5bc62351571efe3b061a2dd54c5f872,501,11/06/2023,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,5cf46412f7ebc0c8642abd1ea73c490e8f8d2c055e70c7a066fe5afe3adf89d5,1000,11/06/2023,,Network Server,GA,Business Associate,Hacking/IT Incident,Yes
current,41171268e7e61b9b1c8003a58d072ddbf4bfa2a3144922bf15e50990bd97b575,164796,11/04/2023,,Network Server,GA,Business Associate,Hacking/IT Incident,Yes
current,9213d87374636c10e1edc34704c6486a990015d683d8be30b5678854a14b51fc,1152,11/03/2023,,Network Server,MN,Healthcare Provider,Unauthorized Access/Disclosure,No
current,4b844f3731ee96a9e01e46d17208081657a4aa98dcf455d434b43a9c65131196,845441,11/03/2023,,Network Server,CA,Healthcare Provider,Hacking/IT Incident,Yes
current,f432f264cea3254fd2b0830b0c200c4027657465fa2c152757401a9cf8b3b3a6,100643,11/03/2023,,"Network Server, Other",TX,Healthcare Provider,Hacking/IT Incident,Yes
current,ca40134a1c2bbe9ad84063618489e4d67f544d13d7513bc32f5b593b8c2418fe,8952212,11/03/2023,,Network Server,NV,Business Associate,Hacking/IT Incident,Yes
current,0419de3842f1d2a91ff7185a69eb688de71cef3deb3c96ee05cba8e216ea403b,13000,11/03/2023,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,2479b8998649f6be5d42f64c9c09461878bc4781d5c389713bb77e46e997fea7,1380,11/03/2023,,Network Server,MN,Healthcare Provider,Hacking/IT Incident,No
current,02b76982004ed39a7fe278714a9a6a9e60a217212b528d5b3e0946e8ef963e60,20045,11/03/2023,,Network Server,MD,Business Associate,Hacking/IT Incident,Yes
current,52358cb67e3159e4d3ea475ee93c3f4b065a91732ae26aaa1848aa266e7a4257,5832,11/03/2023,,Email,CA,Healthcare Provider,Hacking/IT Incident,No
current,7cbdc7cbec6b93f1d07c099e61fe1e0a68f1a45664e64cfde746fc602b27c94a,79582,11/03/2023,,Network Server,NJ,Healthcare Provider,Hacking/IT Incident,No
current,77a0f2d2f3e10b5aaebc198ee2c13618b35d4d74392c5e22efa84b873da83ac3,2364359,10/30/2023,,Other,CA,Healthcare Provider,Hacking/IT Incident,Yes
current,8ee9d2c1b392d93b3e62b0009dfd1d4447deeda7833eea4cac0d1dd7a2fc924c,1670,10/30/2023,,Email,TX,Healthcare Provider,Hacking/IT Incident,No
current,6e95d22b21af43d5b0b2a8fd8462499b20adcd44da6310edeb9c63a65864d263,600,10/30/2023,,Network Server,,Healthcare Provider,Hacking/IT Incident,No
